,question,answer,task
3400,Compute the molecular weight of C[C@H](Cc1ccsc1)NC(=O)N1CCS(=O)(=O)[C@H](C)[C@H]1C in Daltons.,330.475,molecular_weight
3401,Calculate exactly the molecular weight for the compound COc1cc(/C=C2\SC(=N)NC2=O)cc(OC)c1.,264.306,molecular_weight
3402,Find the molecular weight of the molecule with SMILES CCCc1cc(C(=O)NC2CCCCC2C)cc(Cl)n1.,294.826,molecular_weight
3403,Determine the molecular weight corresponding to O=c1ccoc(O)c1O.,128.083,molecular_weight
3404,Provide the molar mass of the compound encoded as CCCCCC(CN(O)C=O)c1nnc(C)o1.,241.291,molecular_weight
3405,How heavy is the molecule C=CC1C(C(=O)NO)N(S(=O)(=O)c2ccc(OC)cc2)CC1(C)C in Daltons?,354.42800000000017,molecular_weight
3406,Calculate exactly the molecular weight for the compound O=C(CNC1CC1)NCC(C(=O)O)c1ccccc1.,262.309,molecular_weight
3407,Provide the molar mass of the compound encoded as CCC(CC)NC(=O)c1ncn2c1CN(CC)S(=O)(=O)c1ccccc1-2.,376.4820000000001,molecular_weight
3408,What is the exact molar mass of Cc1nn(CCC(=O)N2CCN(CCOc3ccc(F)cc3)CC2)c(C)c1C?,388.48700000000014,molecular_weight
3409,How heavy is the molecule COc1cc(/C=C2\SC(=O)N(Cc3ccc(Br)cc3)C2=O)cc(I)c1OCC(=O)Nc1ccc(C)c(Cl)c1 in Daltons?,727.8019999999998,molecular_weight
3410,Calculate exactly the molecular weight for the compound Cc1c(C)n(CCCF)c2ccc3[nH]c(=O)cc(C(F)(F)F)c3c12.,340.32000000000005,molecular_weight
3411,Calculate exactly the molecular weight for the compound CC1CCC12CC1NC12.,123.19899999999998,molecular_weight
3412,How heavy is the molecule COC(=O)c1ccc(-c2ccco2)n1CC(=O)NCc1cccc(F)c1 in Daltons?,356.35300000000007,molecular_weight
3413,Report the molecular weight of the structure C[S+]([O-])c1ccc(Oc2ccc([N+](=O)[O-])cc2C#N)cc1.,302.31100000000004,molecular_weight
3414,Calculate exactly the molecular weight for the compound C#CC(=O)CCCC=O.,124.139,molecular_weight
3415,Determine the molecular weight corresponding to OC1C=CCC2CN2C1.,125.171,molecular_weight
3416,What is the MW (g/mol) for CC(=O)NC(Cc1ccc(F)cc1)C(=O)OCc1ccccc1?,315.34399999999994,molecular_weight
3417,What is the MW (g/mol) for N#CC1NC2CNC12?,109.132,molecular_weight
3418,"For the SMILES CNC(=O)c1ccc(-c2ccc3c(c2)C(C)(C)C(=O)N3c2ccc(C#N)c(C(F)(F)F)c2)cc1F, return its molecular weight.",481.44900000000007,molecular_weight
3419,What is the exact molar mass of COCCn1cnnc1[C@H](C)NC(=O)c1cn([C@H]2CC[C@@H](N)CC2)nn1?,362.4380000000002,molecular_weight
3420,Find the molecular weight of the molecule with SMILES O=C1CC[C@H](O)C(O)[C@@H]1O.,146.142,molecular_weight
3421,What is the MW (g/mol) for CCc1ccc(NC(=O)[C@@H]2CCCN(c3ccc4cc(S(=O)(=O)N5CCCC5)ccc4n3)C2)cc1?,492.6450000000003,molecular_weight
3422,"For the SMILES CN(Cc1cccs1)C(=O)c1cccnc1Nc1cccc(C(F)(F)F)c1, return its molecular weight.",391.41800000000006,molecular_weight
3423,Calculate exactly the molecular weight for the compound COc1ccc(C(=O)N2CCCC2)c(OC2CCN([C@H]3CCSC3)CC2)c1.,390.54900000000015,molecular_weight
3424,Calculate exactly the molecular weight for the compound COC(=O)c1ccc(C)c(NC(=O)c2ccc(CN3CCCC3=O)cc2)c1.,366.41700000000014,molecular_weight
3425,How heavy is the molecule CC12COC3C(O1)C3O2 in Daltons?,128.12699999999998,molecular_weight
3426,What is the MW (g/mol) for Cn1cncc1CN1C[C@@H]2OCCN(c3cnccn3)[C@@H]2C1.O=C(O)C(F)(F)F?,414.3880000000001,molecular_weight
3427,How heavy is the molecule NC=NC(C=O)C=O in Daltons?,114.10399999999998,molecular_weight
3428,"For the SMILES CCCCCCOC(=O)C(N)c1cccs1, return its molecular weight.",241.356,molecular_weight
3429,What is the MW (g/mol) for CCN(c1ccc(C(C)C)c(OC(C)C)c1)c1ccc(C(=O)O)cn1?,342.439,molecular_weight
3430,"For the SMILES CC(C)CC(=O)Nc1ccc(-c2nc(=O)c3ccccc3[nH]2)cc1, return its molecular weight.",321.38,molecular_weight
3431,Provide the molar mass of the compound encoded as O=C(C[C@H](c1ccsc1)n1cccc1)Nc1cccc2[nH]ccc12.,335.4320000000001,molecular_weight
3432,Provide the molar mass of the compound encoded as CC12CC1N1CC1CO2.,125.171,molecular_weight
3433,Provide the molar mass of the compound encoded as COc1c2c(c(O)c3c1C(=O)c1c(cc(O)c(C)c1O)C3=O)-c1c(cc(C=NN=C(S)NC(C)(C)C)c(C(=O)O)c1O)CC2.,619.6520000000002,molecular_weight
3434,Compute the molecular weight of Cc1cccn1C(C)C in Daltons.,123.199,molecular_weight
3435,Report the molecular weight of the structure O=C1NC=CCOCO1.,129.115,molecular_weight
3436,Compute the molecular weight of O=C1C2CN3C1C3C2O in Daltons.,125.12699999999997,molecular_weight
3437,Determine the molecular weight corresponding to CCn1c(SCC(=O)NC2CCCCC2)nnc1[C@@H](NC(=O)c1ccccc1Cl)C(C)C.,478.0620000000001,molecular_weight
3438,"For the SMILES C#CC1(OC)C2CC1C2, return its molecular weight.",122.167,molecular_weight
3439,Report the molecular weight of the structure C/C(=N\CC(=O)CCOCCOCCOCCOCCNC(=O)CCN1C(=O)C=CC1=O)c1ccc(C(=O)Cc2ccc3[nH]c(C(=O)N4C[C@@H](CBr)c5c4cc(OC(=O)N4CCN(C)CC4)c4ccccc54)cc3c2)cc1.CC(=O)C[C@@H](CCCNC(N)=O)C(=O)Nc1ccc(COC(=O)N2CCc3c2ccc2[nH]c(C(=O)N4C[C@@H](CBr)c5c4cc(OC(=O)N4CCN(C)CC4)c4ccccc54)cc32)cc1.CC(C)[C@@H](C)NCCCC(=O)CCOCCNC(=O)CCN1C(=O)C=CC1=O.CC(C)[C@H](CCC(=O)NCCNC(=O)CCOCCOCCOCCOCCCC(=O)CCN1C(=O)C=CC1=O)C(=O)N[C@@H](CCCNC(N)=O)C(=O)Cc1ccc(C(=O)Cc2ccc3oc(C(=O)N4C[C@@H](CCl)c5c4cc(OC(=O)N4CCN(C)CC4)c4ccccc54)cc3c2)cc1.CC(C)[C@H](NCCCC(=O)CCOCCNC(=O)CCN1C(=O)C=CC1=O)C(=O)C[C@@H](CCCNC(N)=O)C(=O)N1CCc2c1ccc1[nH]c(C(=O)N3C[C@@H](CBr)c4c3cc(OC(=O)N3CCN(C)CC3)c3ccccc43)cc21.,4991.625999999994,molecular_weight
3440,Report the molecular weight of the structure NC1(C(=O)N2Cc3ccccc3C2)CCCC1.,230.31099999999992,molecular_weight
3441,What is the exact molar mass of c1cc(CC2CC2)on1?,123.155,molecular_weight
3442,Determine the molecular weight corresponding to NS(=O)(=O)c1ccc(-n2nnc(CS(=O)(=O)C3OC(CO)C(OC4OC(CO)C(O)C(O)C4O)C(O)C3O)c2I)cc1.,752.5150000000003,molecular_weight
3443,Provide the molar mass of the compound encoded as CCc1ccc([C@@H]2CN(CCCC#N)CCO2)cc1.,258.3649999999999,molecular_weight
3444,Calculate exactly the molecular weight for the compound Cc1nc(C2(NC3CC3)CN3CCC2CC3)sc1C.,277.43699999999995,molecular_weight
3445,Compute the molecular weight of CC1C=C(Cl)N(C(=O)Cl)CCC1 in Daltons.,208.088,molecular_weight
3446,What is the MW (g/mol) for O=C(Nc1ccc(F)cn1)c1ccc([S+]([O-])Cc2ccccc2O)nc1?,371.393,molecular_weight
3447,Calculate exactly the molecular weight for the compound COc1cccc([C@@H]2CC(=O)Nc3c2ncn3-c2ccccc2F)c1OC(C)C.,395.43400000000014,molecular_weight
3448,What is the MW (g/mol) for CN1CCN(C(=O)c2ccc3nc[nH]c3c2)CC1(C)C?,272.352,molecular_weight
3449,Provide the molar mass of the compound encoded as CCC1CC(OC)C1=O.,128.171,molecular_weight
3450,What is the MW (g/mol) for Cc1cc(C)c(B(/C=C(/B2OC(C)(C)C(C)(C)O2)c2cccc(Br)c2)c2c(C)cc(C)cc2C)c(C)c1?,557.19,molecular_weight
3451,Calculate exactly the molecular weight for the compound O=CC12CCC1(CO)N2.,127.143,molecular_weight
3452,Compute the molecular weight of CCC1C=C(Cn2cc(C(=O)Nc3c[nH]c(=O)c(-c4cc5cc(OCCCN(CC)CC)ccc5[nH]4)c3)cn2)C=CC1 in Daltons.,568.7220000000003,molecular_weight
3453,Calculate exactly the molecular weight for the compound CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OCC(COCCCCCCCC/C=C\CCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC.,881.3799999999999,molecular_weight
3454,"For the SMILES CCc1c(C)nc2ncnn2c1N1CCC(C(=O)NCc2ccc3c(c2)OCO3)CC1, return its molecular weight.",422.48900000000026,molecular_weight
3455,Compute the molecular weight of C=CCNC(=O)c1cccnc1N1CCOCC1 in Daltons.,247.29799999999992,molecular_weight
3456,Find the molecular weight of the molecule with SMILES COc1cc(OC)c(NC(=O)N2CCOCC2)cc1Cl.,300.742,molecular_weight
3457,"For the SMILES Cc1nc(C(=O)NC2CCOC(C)(C)C2)c(-c2ccccc2)s1, return its molecular weight.",330.453,molecular_weight
3458,Report the molecular weight of the structure CCOC(=O)C1=C(CN(C)C2CCCCC2)NC(=O)N[C@@H]1c1ccc(OC(C)C)cc1.,429.5610000000001,molecular_weight
3459,How heavy is the molecule COc1cccc(NC(=O)N(C)CC2Oc3ncc(C=Cc4ccccc4)cc3C(=O)N(C(C)CO)CC2C)c1 in Daltons?,544.6520000000003,molecular_weight
3460,Find the molecular weight of the molecule with SMILES CCOC(=O)c1ccc(-c2ccc(C=NNC(=O)CN(c3ccccc3Cl)S(C)(=O)=O)o2)cc1.,503.9640000000002,molecular_weight
3461,Provide the molar mass of the compound encoded as NN1CCCCC1.O.O.,136.195,molecular_weight
3462,Determine the molecular weight corresponding to CC1CC2OC12C=O.,112.128,molecular_weight
3463,Report the molecular weight of the structure Cc1noc(C(=O)Nc2ccc3c(c2)OCO3)c1Cl.,280.667,molecular_weight
3464,Find the molecular weight of the molecule with SMILES Cc1onc(CO)c1-c1cccn2c(CCCOc3cccc4ccccc34)c(C(=O)O)cc12.,456.49800000000016,molecular_weight
3465,What is the exact molar mass of Cc1cccc(-n2nc(C)cc2NC(=O)[C@H]2CCCO2)c1?,285.34700000000004,molecular_weight
3466,What is the MW (g/mol) for O=CNC1CC2OCC12?,127.143,molecular_weight
3467,What is the exact molar mass of Cc1cc(C(=O)NC2CCCCCC2)c(C)n1Cc1ccco1?,314.429,molecular_weight
3468,"For the SMILES CC1C=CC2C(=O)CC12, return its molecular weight.",122.167,molecular_weight
3469,How heavy is the molecule NNC(Cc1ccc(F)cc1F)c1cccc(F)c1Br in Daltons?,345.162,molecular_weight
3470,"For the SMILES Cn1nc(CC(=O)Nc2ccc(Oc3ccccc3)cc2)c2ccccc2c1=O, return its molecular weight.",385.4230000000001,molecular_weight
3471,Provide the molar mass of the compound encoded as CN1CC[C@H]2CC[C@@H](C1)N2C(=O)CNS(C)(=O)=O.,275.374,molecular_weight
3472,Determine the molecular weight corresponding to Cc1cc(Br)c(NC(=O)c2ccccc2[N+](=O)[O-])cc1C.,349.18400000000014,molecular_weight
3473,Report the molecular weight of the structure Cc1ccc(-n2ncc(C(=O)N3CCN(c4ccccc4F)CC3)c2C2CCN(C(=O)OC(C)(C)C)CC2)cc1C.,561.7020000000003,molecular_weight
3474,Calculate exactly the molecular weight for the compound CC1OC1CCN1CC1.,127.187,molecular_weight
3475,What is the MW (g/mol) for O=C(COC(=O)C=Cc1ccc(Cl)cc1)NCCN1C(=O)CSC1=O?,382.82500000000016,molecular_weight
3476,Compute the molecular weight of CCCO[Si]=O in Daltons.,103.173,molecular_weight
3477,What is the exact molar mass of Cc1cc(NC(=O)NS(=O)(=O)N(c2cnn(C)c2)C2CCOCC2)c(C)s1?,413.52500000000026,molecular_weight
3478,"For the SMILES C#CC1C2C(C)CCN12, return its molecular weight.",121.183,molecular_weight
3479,What is the exact molar mass of Cc1cc(-c2n[nH]c3ccc(C(=O)NC4CCC5CCC4N5Cc4ccccc4F)cc23)ccn1?,469.5640000000002,molecular_weight
3480,How heavy is the molecule CC(C)C1(C)CCC1C in Daltons?,126.24299999999998,molecular_weight
3481,Find the molecular weight of the molecule with SMILES CC1CCN(C(CNC(=O)COc2ccc(C#N)cc2)c2cccs2)CC1.,383.5170000000001,molecular_weight
3482,Find the molecular weight of the molecule with SMILES CC(C)(C)c1ccc(CN2CCC(N3CCS(=O)(=O)CC3)CC2)s1.,370.5840000000002,molecular_weight
3483,Calculate exactly the molecular weight for the compound C#CC1C2C(=O)C(C)C12.,120.15099999999998,molecular_weight
3484,Find the molecular weight of the molecule with SMILES CC(=O)OC1CCC1.,114.144,molecular_weight
3485,Determine the products formed when the reactants C1CCOC1.CC(=O)[O-].CC(=O)[O-].CCOC(C)=O.COc1cccc([Mg+])c1.O.O=C1c2ccc(OS(=O)(=O)C(F)(F)F)cc2C(=O)N1Cc1cccnc1.[Br-].[Cl-].[Cl-].[Pd+2].[Zn+2] undergo reaction.,COc1cccc(-c2ccc3c(c2)C(=O)N(Cc2cccnc2)C3=O)c1,forward
3486,"Reactants: C1CCOC1.CC(C)(C)[O-].O=C(Cl)c1cccc([N+](=O)[O-])c1.[K+]
Products:",CC(C)(C)OC(=O)c1cccc([N+](=O)[O-])c1,forward
3487,"From the reaction defined solely by the reactants CCOC(=O)C(C)(C)Oc1ccc(O)cc1C.FC(F)(F)c1ccc(-c2cc(C(F)(F)F)c(CCl)cn2)cc1, predict the products.",CCOC(=O)C(C)(C)Oc1ccc(OCc2cnc(-c3ccc(C(F)(F)F)cc3)cc2C(F)(F)F)cc1C,forward
3488,"Based on the listed reactants (Brc1nccs1.C1CCOC1.CC(C)(O)CCO.CCc1c(Cn2ccnc2-c2nccs2)nc2ccc(Cl)nn12), predict the products of the reaction.",CCc1c(Cn2ccnc2-c2nccs2)nc2ccc(OCCC(C)(C)O)nn12,forward
3489,"Given the following reactants:
CN(C)C=O.COc1cccc(N)c1.Cc1nc(CCl)cs1.Cl.O=C([O-])[O-].[K+].[K+]
Predict the reaction products.",COc1cccc(NCc2csc(C)n2)c1,forward
3490,"Reactants: CC1CCC(N(C(=O)Nc2ncc(C=O)s2)C2CCCCC2)CC1.CCS(=O)(=O)N1CCNCC1.Cl
Products:",CCS(=O)(=O)N1CCN(Cc2cnc(NC(=O)N(C3CCCCC3)C3CCC(C)CC3)s2)CC1,forward
3491,What are the expected reaction products from the reactants C1CCOC1.CN(C)C=O.Cl.O=C(O)c1ccc(-c2ccc(Cl)cc2)s1.[Li]CCCC?,O=Cc1cc(-c2ccc(Cl)cc2)sc1C(=O)O,forward
3492,"Given the following reactants:
CC(C)(C)OC(=O)NC1CCN(CCN2C(=O)COc3ccc(Br)cc32)CC1.N#Cc1ccc2ccc(=O)n(CCN3CCC(N)CC3)c2c1
Predict the reaction products.",NC1CCN(CCN2C(=O)COc3ccc(Br)cc32)CC1,forward
3493,"Using the given reaction specification:
Reactants: COC(=O)CC(C)(O)CC(N)=O.O.[Na+].[OH-]
Identify the products.",CC(O)(CC(N)=O)CC(=O)O,forward
3494,Consider the chemical reaction involving the reactants CN(C)C=O.O=C([O-])[O-].O=[N+]([O-])c1cc(Br)ccc1F.Oc1ccccc1.[K+].[K+]. What products are formed?,O=[N+]([O-])c1cc(Br)ccc1Oc1ccccc1,forward
3495,What are the expected reaction products from the reactants C=C1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C3OC132.CC(=O)O.O.O=S(=O)(O)O?,C=C1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C(O)=C12,forward
3496,"Using the given reaction specification:
Reactants: CCOC(=O)C=Cc1cc2cc(C#N)ccc2[nH]1.CCOC(C)=O.CO
Identify the products.",CCOC(=O)CCc1cc2cc(C#N)ccc2[nH]1,forward
3497,"Given the following reactants:
C1CCOC1.CO.COC(=O)c1ccc(C(C)(C)Oc2ccc3c(c2)C(c2ccccc2)=CC3)cc1.[Na+].[OH-]
Predict the reaction products.",CC(C)(Oc1ccc2c(c1)C(c1ccccc1)=CC2)c1ccc(C(=O)O)cc1,forward
3498,"For the reaction starting from reactants CCOC(=O)c1c(O)nc2cc(C(F)(F)F)ccc2c1C.ClCCl.O=S(=O)(OS(=O)(=O)C(F)(F)F)C(F)(F)F, determine the resulting products.",CCOC(=O)c1c(OS(=O)(=O)C(F)(F)F)nc2cc(C(F)(F)F)ccc2c1C,forward
3499,"Reactants: C1CCOC1.CC1(C)CCNC1=O.C[Si](C)(C)[N-][Si](C)(C)C.O=C(Cl)OCc1ccccc1.[Li+]
Products:",CC1(C)CCN(C(=O)OCc2ccccc2)C1=O,forward
3500,Consider the chemical reaction involving the reactants CCOC(=O)CBr.CCOC(=O)c1ccc(C=Cc2ccc3c(c2)C(=O)CCC3(C)C)cc1.O=C1CCC2CC=CC=C2C1.[Zn].c1ccc2c(c1)CCCC2. What products are formed?,CCOC(=O)CC1(O)CCC(C)(C)c2ccc(C=Cc3ccc(C(=O)OCC)cc3)cc21,forward
3501,"Reactants: CC1(C)NN(C2C3CC4CC(C3)CC2C4)C1=O.Fc1c(Cl)cccc1CBr
Products:",CC1(C)C(=O)N(C2C3CC4CC(C3)CC2C4)N1Cc1cccc(Cl)c1F,forward
3502,Determine the products formed when the reactants CCc1cc(O)ccc1O.ClCCl.O=C(Cl)C12CC3CC(CC(C3)C1)C2.c1ccncc1 undergo reaction.,CCc1cc(OC(=O)C23CC4CC(CC(C4)C2)C3)ccc1O,forward
3503,Consider the chemical reaction involving the reactants C1CCOC1.CC(C)CPc1ccccc1.Cc1cc(C)c(C(=O)Cl)c(C)c1.OO.[Li]CCCC. What products are formed?,Cc1cc(C)c(C(=O)P(=O)(CC(C)C)c2ccccc2)c(C)c1,forward
3504,Consider the chemical reaction involving the reactants CO.COC(=O)c1cccc2c1C(O)CCC2.Cl. What products are formed?,COC(=O)c1cccc2c1C=CCC2,forward
3505,"From the reaction defined solely by the reactants CC(=O)c1ccc2c(c1)NC(=O)CO2.CI.CN(C)C=O.O=C([O-])[O-].[Cs+].[Cs+], predict the products.",CC(=O)c1ccc2c(c1)N(C)C(=O)CO2,forward
3506,Consider the chemical reaction involving the reactants CC(=O)c1cccc(C(F)(F)F)c1.CCO.CON.Cl.c1ccncc1. What products are formed?,CON=C(C)c1cccc(C(F)(F)F)c1,forward
3507,Consider the chemical reaction involving the reactants CCCCCC(=O)c1cc(CCC(=O)OCC)ccc1OC.CCO.[BH4-].[Na+]. What products are formed?,CCCCCC(O)c1cc(CCC(=O)OCC)ccc1OC,forward
3508,"In the chemical transformation where the reactants are C1CCOC1.CC(=O)Oc1ccc(C2=COc3ccccc3O2)cc1.CO.O=C([O-])[O-].[K+].[K+], what compounds are produced?",Oc1ccc(C2=COc3ccccc3O2)cc1,forward
3509,Consider the chemical reaction involving the reactants COCCCOc1cc(C(=O)N(CC2CN(C(=O)OC(C)(C)C)CC2CN(C)C(=O)C2CC2)C(C)C)ccc1OC.ClCCl.O=C(O)C(F)(F)F.O=C([O-])O.[Na+]. What products are formed?,COCCCOc1cc(C(=O)N(CC2CNCC2CN(C)C(=O)C2CC2)C(C)C)ccc1OC,forward
3510,What are the expected reaction products from the reactants CCO.COc1ccc([N+](=O)[O-])c(Cl)n1.NC(CO)CO?,COc1ccc([N+](=O)[O-])c(NC(CO)CO)n1,forward
3511,"Reactants: NC1(c2ccccc2)CCC(=O)CC1.O=C(CNC(=O)c1cccc(C(F)(F)F)c1)NC1CNC1
Products:",NC1(c2ccccc2)CCC(N2CC(NC(=O)CNC(=O)c3cccc(C(F)(F)F)c3)C2)CC1,forward
3512,Determine the products formed when the reactants C1COCCN1.CCN(CC)CC.ClCCl.N#Cc1cc(CBr)cc([N+](=O)[O-])c1 undergo reaction.,N#Cc1cc(CN2CCOCC2)cc([N+](=O)[O-])c1,forward
3513,"For the reaction starting from reactants CC(C)(C)OC(=O)CC(=O)c1cccc(-n2cccn2)c1.CN(C)c1cc(NC(=O)OC(C)(C)C)c(N)cc1Cl, determine the resulting products.",CN(C)c1cc(NC(=O)OC(C)(C)C)c(NC(=O)CC(=O)c2cccc(-n3cccn3)c2)cc1Cl,forward
3514,"Using the given reaction specification:
Reactants: CCO.CCOC(=O)C(NC(C)=O)C(=O)OCC.O=[N+]([O-])c1ccc(-c2ccc(CCl)o2)cc1.[Na]
Identify the products.",CCOC(=O)C(Cc1ccc(-c2ccc([N+](=O)[O-])cc2)o1)(NC(C)=O)C(=O)OCC,forward
3515,"Reactants: CCCC[N+](CCCC)(CCCC)CCCC.ClCCl.O.O=S(=O)(Cl)c1ccccc1.O=S(=O)([O-])O.[Na+].[OH-].c1ccc(COc2ccc3[nH]ccc3c2)cc1
Products:",O=S(=O)(c1ccccc1)n1ccc2cc(OCc3ccccc3)ccc21,forward
3516,"In the chemical transformation where the reactants are CC(C)NC(C)C.COC(=O)C(CO)NC(=O)OC(C)(C)C.CS(=O)(=O)Cl.ClCCl.Sc1ccccc1, what compounds are produced?",COC(=O)C(CSc1ccccc1)NC(=O)OC(C)(C)C,forward
3517,"Reactants: CC(C)(C)[Si](C)(C)OC1CC(CC(=O)[O-])CC(OC2CCCCO2)C1.CO.O=C([O-])[O-].[K+].[K+]
Products:",CC(C)(C)[Si](C)(C)OC1CC(O)CC(OC2CCCCO2)C1,forward
3518,"From the reaction defined solely by the reactants C1COCCO1.CCNC(=O)Nc1ccc(-c2nc(N3CCOCC3C)c3nc(C4(O)CN(C(=O)OC(C)(C)C)C4)n(C)c3n2)cc1.CO.Cl.ClCCl.O=C(O)C(F)(F)F, predict the products.",CCNC(=O)Nc1ccc(-c2nc(N3CCOCC3C)c3nc(C4(O)CNC4)n(C)c3n2)cc1,forward
3519,"Reactants: CCOC(C)=O.CNC(=O)c1cccc([N+](=O)[O-])c1Br.Cc1ccccc1.Nc1cncc(F)c1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C([O-])[O-].[Cs+].[Cs+].[Pd].[Pd]
Products:",CNC(=O)c1cccc([N+](=O)[O-])c1Nc1cncc(F)c1,forward
3520,"Based on the listed reactants (C1CCOC1.C=CCCCC.N#N), predict the products of the reaction.",CCCCC(C)C1CCCO1,forward
3521,"For the reaction starting from reactants CC(C)(C)n1nc(C=O)cc1-c1ccc(Cl)cc1.NCCN1CCN(c2ccccc2F)CC1, determine the resulting products.",CC(C)(C)n1nc(CNCCN2CCN(c3ccccc3F)CC2)cc1-c1ccc(Cl)cc1,forward
3522,What are the expected reaction products from the reactants CC(=O)O.CCCCCCCNC(=O)N(C)c1cccc(-c2ccc(C=CC(=O)OC)cc2O)c1.CCOC(C)=O.CO?,CCCCCCCNC(=O)N(C)c1cccc(-c2ccc(CCC(=O)OC)cc2O)c1,forward
3523,"Using the given reaction specification:
Reactants: CC(C)=CCCC(C)=CCN(C(=O)c1ccccc1[N+](=O)[O-])c1ccc(N(C)C)cc1.CCO.Cl.[Fe]
Identify the products.",CC(C)=CCCC(C)=CCN(C(=O)c1ccccc1N)c1ccc(N(C)C)cc1,forward
3524,What are the expected reaction products from the reactants COc1cc(CBr)cc(OC)c1OC.Cc1ccccc1.c1ccc([PH+](c2ccccc2)c2ccccc2)cc1?,COc1cc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc(OC)c1OC.[Br-],forward
3525,"Based on the listed reactants (BrCc1ccccc1.CN(C)C=O.COC(=O)c1ccc(O)cc1.O.O=C([O-])[O-].[K+].[K+]), predict the products of the reaction.",COC(=O)c1ccc(OCc2ccccc2)cc1,forward
3526,Consider the chemical reaction involving the reactants CC(=O)OC1CCC2(C)C(CCC3C2CC(=O)C2(C)C(C(C)CCC=O)CCC32)C1.CO.C[O-].Cl.[CH3].[Na+]. What products are formed?,CC(CCC=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(=O)C12C,forward
3527,"Reactants: Cc1coc2cc(O)ccc2c1=O.O.O=S(=O)(OS(=O)(=O)C(F)(F)F)C(F)(F)F.c1ccncc1
Products:",Cc1coc2cc(OS(=O)(=O)C(F)(F)F)ccc2c1=O,forward
3528,Consider the chemical reaction involving the reactants C1COCCO1.CCCC(=O)Nc1nn(COCC[Si](C)(C)C)c2cc(B3OC(C)(C)C(C)(C)O3)ccc12.CCOC(C)=O.O.O=C([O-])[O-].O=[N+]([O-])c1ccc(Br)cc1.[Na+].[Na+].c1ccc([PH](c2ccccc2)(c2ccccc2)[Pd]([PH](c2ccccc2)(c2ccccc2)c2ccccc2)([PH](c2ccccc2)(c2ccccc2)c2ccccc2)[PH](c2ccccc2)(c2ccccc2)c2ccccc2)cc1. What products are formed?,CCCC(=O)Nc1nn(COCC[Si](C)(C)C)c2cc(-c3ccc([N+](=O)[O-])cc3)ccc12,forward
3529,"From the reaction defined solely by the reactants O=S(=O)(Nc1cccc(-c2nc(C3CCOCC3)sc2-c2ccnc(Cl)n2)c1Cl)c1cc(F)ccc1F.[NH4+].[OH-], predict the products.",Nc1nccc(-c2sc(C3CCOCC3)nc2-c2cccc(NS(=O)(=O)c3cc(F)ccc3F)c2Cl)n1,forward
3530,"Using the given reaction specification:
Reactants: Br.Br.CCC(=O)c1cnc(Cl)cc1C.O=C([O-])[O-].[Na+].[Na+]
Identify the products.",Cc1cc(Cl)ncc1C(=O)C(C)Br,forward
3531,Determine the products formed when the reactants Br.BrCc1ccccn1.COC(=O)c1ccc(O)cc1F undergo reaction.,COC(=O)c1ccc(OCc2ccccn2)cc1F,forward
3532,"Given the following reactants:
CC(=O)[O-].CC(=O)[O-].CC1=CCC(C(C)C)CC1.FC(F)(F)c1ccccc1.O.O.O.O=C(C(F)(F)F)C(F)(F)F.O=C1c2ccccc2C(=O)N1O.OC(c1ccccc1)c1ccccc1.[Co+2]
Predict the reaction products.",CC(C)C1CCC2(C)OC2C1,forward
3533,"Using the given reaction specification:
Reactants: C1CCOC1.CC(C)(C)OC(=O)N1CCNCC1.CCN(CC)CC.CCOC(C)=O.O=S(=O)(Cl)C(F)(F)F
Identify the products.",CC(C)(C)OC(=O)N1CCN(S(=O)(=O)C(F)(F)F)CC1,forward
3534,"Based on the listed reactants (CC(=O)O.CC(C)(C)[N+](=O)[O-].CCO.O=Cc1cn[nH]c1.[Zn]), predict the products of the reaction.",CC(C)(C)[N+]([O-])=Cc1cn[nH]c1,forward
3535,Determine the products formed when the reactants C1CCOC1.CC(C)(C)[O-].CN(C)C=O.ClC(Cl)Cl.O=[N+]([O-])c1ccc(-c2ccc(Cl)cc2)cc1.[K+] undergo reaction.,O=[N+]([O-])c1ccc(-c2ccc(Cl)cc2)cc1C(Cl)Cl,forward
3536,"Given the following reactants:
CCOC(C)=O.COCCOC.Nc1ncc(F)cc1Br.O.O=C([O-])[O-].OB(O)c1ccc(OC2CCCCC2)nc1.[Na+].[Na+].c1ccc([PH](c2ccccc2)(c2ccccc2)[Pd]([PH](c2ccccc2)(c2ccccc2)c2ccccc2)([PH](c2ccccc2)(c2ccccc2)c2ccccc2)[PH](c2ccccc2)(c2ccccc2)c2ccccc2)cc1
Predict the reaction products.",Nc1ncc(F)cc1-c1ccc(OC2CCCCC2)nc1,forward
