question_smiles,question_iupac,answer
"Given O=C(CSc1ccc2ccccc2c1)Nc1nc2ccccc2[nH]1, return the number of carbon atoms.","Given N-(1H-benzimidazol-2-yl)-2-naphthalen-2-ylsulfanylacetamide, return the number of carbon atoms.",19
How many carbons are present in the molecule CCC(C(=O)O)C1(O)CCc2ccc(OC)cc2C1?,"How many carbons are present in the molecule 2-(2-hydroxy-7-methoxy-3,4-dihydro-1H-naphthalen-2-yl)butanoic acid?",15
Count the number of carbon atoms in CN(C)c1ccc([C@H]2[C@H]3C(=O)N(c4ccc(C(=O)O)cc4)C(=O)[C@H]3ON2c2ccccc2)cc1.,"Count the number of carbon atoms in 4-[(3R,3aR,6aS)-3-[4-(dimethylamino)phenyl]-4,6-dioxo-2-phenyl-3a,6a-dihydro-3H-pyrrolo[3,4-d][1,2]oxazol-5-yl]benzoic acid.",26
Determine the total carbon count for CCN(CC)c1nc(N)c(C(=O)NCC(=O)NC(C)C)s1.,"Determine the total carbon count for 4-amino-2-(diethylamino)-N-[2-oxo-2-(propan-2-ylamino)ethyl]-1,3-thiazole-5-carboxamide.",13
Compute the total number of carbons in C[C@@H](O)CN1CCC2CNCC2CC1.,"Compute the total number of carbons in (2R)-1-(2,3,3a,4,5,7,8,8a-octahydro-1H-pyrrolo[3,4-d]azepin-6-yl)propan-2-ol.",11
Identify the carbon atom count in the molecule Cc1nc(SCc2cc(=O)[nH][nH]2)c2oc3ccccc3c2n1.,"Identify the carbon atom count in the molecule 5-[(2-methyl-[1]benzofuro[3,2-d]pyrimidin-4-yl)sulfanylmethyl]-1,2-dihydropyrazol-3-one.",15
Compute the total number of carbons in Cc1ccc(C)c(C(=O)N2CCCN(C)c3ccccc32)c1.,"Compute the total number of carbons in (2,5-dimethylphenyl)-(1-methyl-3,4-dihydro-2H-1,5-benzodiazepin-5-yl)methanone.",19
Compute the total number of carbons in CC(C)OCCCNC(=O)c1ccc2c(c1)N(Cc1c(F)cccc1Cl)C(=O)c1ccccc1S2.,"Compute the total number of carbons in 5-[(2-chloro-6-fluorophenyl)methyl]-6-oxo-N-(3-propan-2-yloxypropyl)benzo[b][1,4]benzothiazepine-3-carboxamide.",27
What is the total count of carbon atoms in Cc1csc(CN2CC3(C2)OCCC3COc2ncccc2F)n1?,"What is the total count of carbon atoms in 8-[(3-fluoro-2-pyridinyl)oxymethyl]-2-[(4-methyl-1,3-thiazol-2-yl)methyl]-5-oxa-2-azaspiro[3.4]octane?",17
What is the total count of carbon atoms in Cc1ccc(C=NN2C(=O)c3ccccc3NC2c2ccc(C)cc2)cc1?,"What is the total count of carbon atoms in 2-(4-methylphenyl)-3-[(4-methylphenyl)methylideneamino]-1,2-dihydroquinazolin-4-one?",23
"For the molecule c1ccc(-c2nc(-n3c4ccc(-n5c6ccccc6n6c7ccccc7cc56)cc4n4c5ccccc5cc34)nc3ccccc23)cc1, how many carbon atoms does it contain?","For the molecule 7-indolo[1,2-a]benzimidazol-10-yl-10-(4-phenylquinazolin-2-yl)indolo[1,2-a]benzimidazole, how many carbon atoms does it contain?",42
Report the number of carbon atoms in CCCCn1cc(C(=O)c2cccc3ccccc23)c2ccccc21.,Report the number of carbon atoms in (1-butylindol-3-yl)-naphthalen-1-ylmethanone.,23
Report the number of carbon atoms in O=c1nc(O)nc(O)o1.,"Report the number of carbon atoms in 1,3,5-oxadiazinane-2,4,6-trione.",3
Report the number of carbon atoms in CC1CCn2c(nc(-c3ccc(N(C)C)cc3)c2N)C1.,"Report the number of carbon atoms in 2-[4-(dimethylamino)phenyl]-7-methyl-5,6,7,8-tetrahydroimidazo[1,2-a]pyridin-3-amine.",16
Determine the total carbon count for c1ccc(-c2ccc(N(c3ccccc3)c3cc(-c4ccc5c(c4)oc4ccccc45)cc(-c4ccc5c6ccccc6n(-c6ccccc6)c5c4)c3)cc2)cc1.,Determine the total carbon count for 3-dibenzofuran-3-yl-N-phenyl-5-(9-phenylcarbazol-2-yl)-N-(4-phenylphenyl)aniline.,54
How many carbons are present in the molecule CCCCCCCC(CCC(=O)Nc1ccc(C)cc1[N+](=O)[O-])N1C(=O)C=CC1=O?,"How many carbons are present in the molecule 4-(2,5-dioxopyrrol-1-yl)-N-(4-methyl-2-nitrophenyl)undecanamide?",22
Determine the total carbon count for C[C@H](O)CNC(=O)c1cnccc1Nc1nc(-c2cc(Cl)ccc2F)ncc1C(C)(C)C.,Determine the total carbon count for 4-[[5-tert-butyl-2-(5-chloro-2-fluorophenyl)pyrimidin-4-yl]amino]-N-[(2S)-2-hydroxypropyl]pyridine-3-carboxamide.,23
Compute the total number of carbons in CC1(C)CC(=O)C2(Cc3ccccc3N3CCN(Cc4ccccc4)C[C@H]32)C(=O)C1.,"Compute the total number of carbons in (4aR)-3-benzyl-5',5'-dimethylspiro[2,4,4a,6-tetrahydro-1H-pyrazino[1,2-a]quinoline-5,2'-cyclohexane]-1',3'-dione.",26
Identify the carbon atom count in the molecule CC1CCC23C(=O)OC(CC2C12CC(c1ccoc1)OC2=O)C1OC13C.,"Identify the carbon atom count in the molecule 5'-(furan-3-yl)-4,11-dimethylspiro[10,13-dioxatetracyclo[6.3.2.01,6.09,11]tridecane-5,3'-oxolane]-2',12-dione.",20
How many carbon atoms make up the structure CN1c2ccccc2C(=O)N2CCc3c(n(CCCCCCO[N+](=O)[O-])c4ccccc34)C21?,"How many carbon atoms make up the structure 6-(21-methyl-14-oxo-3,13,21-triazapentacyclo[11.8.0.02,10.04,9.015,20]henicosa-2(10),4,6,8,15,17,19-heptaen-3-yl)hexyl nitrate?",25
How many carbon atoms make up the structure CC(C)CNC(=O)C1CSCN1S(=O)(=O)c1cc(F)c(F)cc1F?,"How many carbon atoms make up the structure N-(2-methylpropyl)-3-(2,4,5-trifluorophenyl)sulfonyl-1,3-thiazolidine-4-carboxamide?",14
"Given CS(=O)(=O)NC[C@H]1CCCCN1C(=O)N[C@H]1CCN(Cc2ccccc2)C1, return the number of carbon atoms.","Given (2R)-N-[(3S)-1-benzylpyrrolidin-3-yl]-2-(methanesulfonamidomethyl)piperidine-1-carboxamide, return the number of carbon atoms.",19
What is the total count of carbon atoms in C=C1CCC2C(C)(COC(=O)CCC(=O)O)C(OC(=O)CCC(=O)O)CCC2(C)C1CC=C1C=COC1=O?,"What is the total count of carbon atoms in 4-[[2-(3-carboxypropanoyloxy)-1,4a-dimethyl-6-methylidene-5-[2-(2-oxofuran-3-ylidene)ethyl]-3,4,5,7,8,8a-hexahydro-2H-naphthalen-1-yl]methoxy]-4-oxobutanoic acid?",28
What is the total count of carbon atoms in Cc1nc(N(C)C)ncc1C(=O)NCCSC(F)(F)F?,What is the total count of carbon atoms in 2-(dimethylamino)-4-methyl-N-[2-(trifluoromethylsulfanyl)ethyl]pyrimidine-5-carboxamide?,11
"For the molecule Cc1ccsc1C(=O)NC1CCN(c2cnn(CC3CC3)c(=O)c2)CC1, how many carbon atoms does it contain?","For the molecule N-[1-[1-(cyclopropylmethyl)-6-oxopyridazin-4-yl]piperidin-4-yl]-3-methylthiophene-2-carboxamide, how many carbon atoms does it contain?",19
"For the molecule CC(=O)Nc1ccc(C(=O)N[C@@H]2CCN(Cc3ccccc3)C2)cc1, how many carbon atoms does it contain?","For the molecule 4-acetamido-N-[(3R)-1-benzylpyrrolidin-3-yl]benzamide, how many carbon atoms does it contain?",20
"Given Cc1ccc(NCc2c(C)nn(CCO)c2C)c(F)c1, return the number of carbon atoms.","Given 2-[4-[(2-fluoro-4-methylanilino)methyl]-3,5-dimethylpyrazol-1-yl]ethanol, return the number of carbon atoms.",15
What is the total count of carbon atoms in Cc1cc(S(=O)(=O)c2cc3ccc(O)c(C)c3oc2=O)ccc1F?,What is the total count of carbon atoms in 3-(4-fluoro-3-methylphenyl)sulfonyl-7-hydroxy-8-methylchromen-2-one?,17
Identify the carbon atom count in the molecule CC1C2C=CC1C(=O)N2.,Identify the carbon atom count in the molecule 7-methyl-2-azabicyclo[2.2.1]hept-5-en-3-one.,7
Compute the total number of carbons in Cc1ccc(OC(=O)N(C)C)c(Br)c1C.,"Compute the total number of carbons in (2-bromo-3,4-dimethylphenyl) N,N-dimethylcarbamate.",11
