rep_1,rep_2,name_equivalence_q,name_equivalence_a,chemical_similarity_q,chemical_similarity_a,property_comparison_q,property_comparison_a
smiles,smiles,Is the molecule described by CCOC(=O)c1c(C)n(-c2ccccc2)c2cc(Br)c(OC)c(OC)c12 identical to the one described by c1ccc(-n2c3c(c(C(OCC)=O)c2C)c(c(c(Br)c3)OC)OC)cc1?,1,Which compound more closely resembles CCOC(=O)c1c(C)n(-c2ccccc2)c2cc(Br)c(OC)c(OC)c12: CCc1ccc([C@H](C)NC(=O)CN2CCC[C@H](C(=O)Nc3ccccc3)C2)cc1 or CC1(O)CCC(C#N)C1?,A,Assess the molecular weight of CCc1ccc([C@H](C)NC(=O)CN2CCC[C@H](C(=O)Nc3ccccc3)C2)cc1 and CC1(O)CCC(C#N)C1. Which one is higher?,A
smiles,smiles,Do O=CN1C2CC1C2 and Cc1c(-c2ccc3cc(CCN4CCC[C@H]4C)ccc3n2)cnn1-c1ccccn1 correspond to the same molecular structure?,0,Which compound more closely resembles O=CN1C2CC1C2: CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCc2c(C(=O)O)cc(-c3ccncc3)cc21.CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCc2c(C(N)=O)cc(-c3ccncc3)cc21 or c1c[nH]c(C2CCN(CCOc3ccc(Oc4nc5ccccc5s4)cc3)CC2)c1?,B,Compare CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCc2c(C(=O)O)cc(-c3ccncc3)cc21.CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)C(=O)N1CCc2c(C(N)=O)cc(-c3ccncc3)cc21 and c1c[nH]c(C2CCN(CCOc3ccc(Oc4nc5ccccc5s4)cc3)CC2)c1 in terms of molecular weight. Which is lower?,B
smiles,iupac,"Do these two representations, Cc1ccc(C)c(N2CCN(C(=O)c3ccc(N4CCSc5ccccc54)s3)CC2)c1 and [5-(2,3-dihydro-1,4-benzothiazin-4-yl)thiophen-2-yl]-[4-(2,5-dimethylphenyl)piperazin-1-yl]methanone, describe the same molecule?",0,"Between the two options, Cc1cc(C(C)(C)C)ccc1OCCn1cnc2ccccc2c1=O and CCNc1nc(N)nc(Oc2ccc(OCC(=O)OC)nn2)n1, which better matches Cc1ccc(C)c(N2CCN(C(=O)c3ccc(N4CCSc5ccccc54)s3)CC2)c1 chemically?",A,Compare Cc1cc(C(C)(C)C)ccc1OCCn1cnc2ccccc2c1=O and CCNc1nc(N)nc(Oc2ccc(OCC(=O)OC)nn2)n1 in terms of molecular weight. Which is higher?,A
smiles,iupac,Are CCCOc1ccccc1C(=O)Nc1ccccc1NC(=O)c1ccccc1OCCC and 2-propoxy-N-[2-[(2-propoxybenzoyl)amino]phenyl]benzamide equivalent representations of the same molecule?,0,Assess the chemical similarity of Cc1cn([C@H]2C=C[C@@H](CO[Si](C)(c3ccccc3)c3ccccc3)O2)c(=O)nc1SCCN and COc1ccc(CN(CC2CCN(C3CCCC3)CC2)C[C@@H]2CCCO2)cc1 to CCCOc1ccccc1C(=O)Nc1ccccc1NC(=O)c1ccccc1OCCC. Which is more similar?,A,"For the property molecular weight, which molecule is higher: Cc1cn([C@H]2C=C[C@@H](CO[Si](C)(c3ccccc3)c3ccccc3)O2)c(=O)nc1SCCN or COc1ccc(CN(CC2CCN(C3CCCC3)CC2)C[C@@H]2CCCO2)cc1?",A
smiles,iupac,"Do these two representations, CCN(C(=O)c1ccc(CNc2nc(Nc3ccccc3)nc(N3CCc4cc(OC)c(OC)cc4C3)n2)cc1)c1cccc(C)c1 and 4-[[[4-anilino-6-(6,7-dimethoxy-3,4-dihydro-1H-isoquinolin-2-yl)-1,3,5-triazin-2-yl]amino]methyl]-N-ethyl-N-(3-methylphenyl)benzamide, describe the same molecule?",0,"Between the two options, CN=C1NCCN1C=O and O=C(COc1ccccc1[N+](=O)[O-])Nc1ccc(C(=O)O)c(O)c1, which better matches CCN(C(=O)c1ccc(CNc2nc(Nc3ccccc3)nc(N3CCc4cc(OC)c(OC)cc4C3)n2)cc1)c1cccc(C)c1 chemically?",B,Assess the molecular weight of CN=C1NCCN1C=O and O=C(COc1ccccc1[N+](=O)[O-])Nc1ccc(C(=O)O)c(O)c1. Which one is lower?,A
smiles,smiles,Verify whether CC1(O)C=CC2NC21 and CC1(O)C2C(C=C1)N2 correspond to an identical molecule.,1,"Between the two options, CN(C)[C@@H]1C[C@@H]2C[C@H](N(C)C(=O)Cc3ccc(-c4ccccc4)cc3)C[C@@H]2C1 and CCc1c(C(=O)Nc2ccccc2F)nnn1-c1ccc(F)cc1, which better matches CC1(O)C=CC2NC21 chemically?",A,"Given CN(C)[C@@H]1C[C@@H]2C[C@H](N(C)C(=O)Cc3ccc(-c4ccccc4)cc3)C[C@@H]2C1 and CCc1c(C(=O)Nc2ccccc2F)nnn1-c1ccc(F)cc1, determine which has the higher molecular weight.",A
smiles,smiles,Are O=C(OCc1nc2cc(C(F)(F)F)ccc2o1)c1cccnc1 and c12nc(COC(c3cnccc3)=O)oc2ccc(C(F)(F)F)c1 equivalent representations of the same molecule?,1,Determine whether Cc1nn(-c2nc3ccccc3s2)c2c1C(=O)CC(C)(C)C2 or CC(C)(C)[C@@H](NC(=O)Cn1nnc(COc2ccccc2)n1)c1cccs1 is more chemically similar to O=C(OCc1nc2cc(C(F)(F)F)ccc2o1)c1cccnc1.,B,Identify whether Cc1nn(-c2nc3ccccc3s2)c2c1C(=O)CC(C)(C)C2 or CC(C)(C)[C@@H](NC(=O)Cn1nnc(COc2ccccc2)n1)c1cccs1 has the higher molecular weight.,B
smiles,smiles,Is the molecule described by Cc1sc2ncn(CC(=O)NC[C@H]3COc4ccccc4O3)c(=O)c2c1S(=O)(=O)N1CCCCC1 identical to the one described by O=C(NC[C@@H]1Oc2ccccc2OC1)Cn1cnc2c(c(S(=O)(=O)N3CCCCC3)c(s2)C)c1=O?,1,Compare NC(C1=CCCCO1)C1CN2CCCC2CO1 and O=C1CC2=CCCC2C1 to Cc1sc2ncn(CC(=O)NC[C@H]3COc4ccccc4O3)c(=O)c2c1S(=O)(=O)N1CCCCC1. Which is more chemically similar?,A,"Which molecule demonstrates a higher value for molecular weight, NC(C1=CCCCO1)C1CN2CCCC2CO1 or O=C1CC2=CCCC2C1?",A
smiles,smiles,Is the molecule described by CCC1COC(C)(C)C1 identical to the one described by C1(COC(C1)(C)C)CC?,1,"Given CCC1COC(C)(C)C1, select the molecule that is more chemically similar: Cc1c/c(=N\NC(=O)c2ccncc2)n2nc(N)sc2n1 or O=C(C1CC1)N1CCc2sc(S(=O)(=O)NCc3cccc(F)c3)cc2C1.",B,Identify whether Cc1c/c(=N\NC(=O)c2ccncc2)n2nc(N)sc2n1 or O=C(C1CC1)N1CCc2sc(S(=O)(=O)NCc3cccc(F)c3)cc2C1 has the lower molecular weight.,A
smiles,iupac,"Are O=C(c1noc2c1CCCCC2)N1CCOCC1 and morpholin-4-yl(5,6,7,8-tetrahydro-4H-cyclohepta[d][1,2]oxazol-3-yl)methanone equivalent representations of the same molecule?",1,"Between the two options, C=CCOC(C)(C)C[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N(C)[C@@H]([C@H](O)[C@H](C)CC=CC)C(=O)N[C@@H](CC)C(=O)N(C)C(CC(C(=O)OC)C(=O)OC)C(=O)N1C and COc1ccccc1O[C@@H](C)C(=O)N[C@H](C)c1ccccc1, which better matches O=C(c1noc2c1CCCCC2)N1CCOCC1 chemically?",B,"For the property molecular weight, which molecule is higher: C=CCOC(C)(C)C[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N(C)[C@@H]([C@H](O)[C@H](C)CC=CC)C(=O)N[C@@H](CC)C(=O)N(C)C(CC(C(=O)OC)C(=O)OC)C(=O)N1C or COc1ccccc1O[C@@H](C)C(=O)N[C@H](C)c1ccccc1?",A
smiles,iupac,"Do CN(C(=O)[C@H](Cc1cc(F)cc(F)c1)NC(=O)NCC(N[C@@H](CC1=CC(F)=CC(F)C1)C(=O)N(C)c1ccc2c(c1)ncn2C)C(=O)O)c1ccc2c(c1)ncn2C and 2-[[(2S)-3-(3,5-difluorocyclohexa-1,3-dien-1-yl)-1-[methyl-(1-methylbenzimidazol-5-yl)amino]-1-oxopropan-2-yl]amino]-3-[[(2S)-3-(3,5-difluorophenyl)-1-[methyl-(1-methylbenzimidazol-5-yl)amino]-1-oxopropan-2-yl]carbamoylamino]propanoic acid correspond to the same molecular structure?",1,Determine whether CC1OC23C=CC(C2)C13 or CCOc1cc(C(c2c(O)n(C)c(=S)n(C)c2=O)c2c(O)n(C)c(=S)n(C)c2=O)cc(Cl)c1OCc1ccc(Cl)cc1Cl is more chemically similar to CN(C(=O)[C@H](Cc1cc(F)cc(F)c1)NC(=O)NCC(N[C@@H](CC1=CC(F)=CC(F)C1)C(=O)N(C)c1ccc2c(c1)ncn2C)C(=O)O)c1ccc2c(c1)ncn2C.,B,Identify whether CC1OC23C=CC(C2)C13 or CCOc1cc(C(c2c(O)n(C)c(=S)n(C)c2=O)c2c(O)n(C)c(=S)n(C)c2=O)cc(Cl)c1OCc1ccc(Cl)cc1Cl has the higher molecular weight.,B
smiles,smiles,Is the molecule described by CN(C(=O)c1cccc(NC(=O)Cc2ccc(NC(=O)C3CCN(C(=O)C4CC4)CC3)cc2)c1)C1CCC1 identical to the one described by CC(C)NCC(O)CON=c1c2ccccc2oc2ccccc12?,0,Assess the chemical similarity of O=C(Nc1nnn[nH]1)c1oc2ccccc2c(=O)c1NCCCO and Cc1c(C(=O)O)ccc(N2C(=O)OC[C@H]2C)c1F to CN(C(=O)c1cccc(NC(=O)Cc2ccc(NC(=O)C3CCN(C(=O)C4CC4)CC3)cc2)c1)C1CCC1. Which is more similar?,B,"Which molecule demonstrates a higher value for molecular weight, O=C(Nc1nnn[nH]1)c1oc2ccccc2c(=O)c1NCCCO or Cc1c(C(=O)O)ccc(N2C(=O)OC[C@H]2C)c1F?",A
smiles,smiles,Is the molecule described by CCC12C(C)C1C1CN12 identical to the one described by CCCCCCNC1CCN(S(=O)(=O)c2ccc(CNC(=O)c3ccccc3)s2)CC1?,0,"Between Cc1c(NC2=NC(=O)/C(=C\C=C\c3ccccc3)S2)c(=O)n(-c2ccccc2)n1C and CCOC(=O)C(C)(C)C1=CC(=Cc2cccc(-c3ccc(F)cc3)n2)c2ccc(F)cc21, which is more similar in structure to CCC12C(C)C1C1CN12?",A,"Which molecule has a lower molecular weight, Cc1c(NC2=NC(=O)/C(=C\C=C\c3ccccc3)S2)c(=O)n(-c2ccccc2)n1C or CCOC(=O)C(C)(C)C1=CC(=Cc2cccc(-c3ccc(F)cc3)n2)c2ccc(F)cc21?",A
smiles,smiles,Assess whether O=C(Cn1nc(C(F)(F)F)c2c1CCC2)Nc1ccccc1C(F)(F)F and CC1OCCC1(O)CNc1ccc(C(N)=O)cn1 denote the same chemical substance.,0,Identify which molecule is more similar to O=C(Cn1nc(C(F)(F)F)c2c1CCC2)Nc1ccccc1C(F)(F)F: COc1ccc(C)cc1CN1CCN(CN2C(=O)N[C@@]3(C2=O)[C@H](C)CCC[C@@H]3C)CC1 or C=CC(C)(C)c1c(O)c(CC=C(C)C)c2oc3c(O)c(O)ccc3c(=O)c2c1O.,A,Assess the molecular weight of COc1ccc(C)cc1CN1CCN(CN2C(=O)N[C@@]3(C2=O)[C@H](C)CCC[C@@H]3C)CC1 and C=CC(C)(C)c1c(O)c(CC=C(C)C)c2oc3c(O)c(O)ccc3c(=O)c2c1O. Which one is higher?,A
smiles,smiles,Are NC(=O)c1nc(C=Cc2cccc(F)c2)n(C2OC(CO)C(O)C2O)n1 and C=C1C[C@H](CCCO)OC1CC[C@H]1C[C@@H](C)C(=C)C(C[C@@H]2OC(C[C@@H](CN3C(=O)c4ccccc4C3=O)O[Si](C)(C)C(C)(C)C)[C@H](C)C2COCc2ccc(OC)cc2)O1.C=C1C[C@H](CCCOC(=O)C(C)(C)C)OC1CC[C@@H](C)C[C@@H](C)C(=C)I.C=C1C[C@H](CCCOC(=O)C(C)(C)C)OC1CC[C@H]1C[C@@H](C)C(=C)C(C[C@@H]2OC(C[C@@H](CN3C(=O)c4ccccc4C3=O)O[Si](C)(C)C(C)(C)C)[C@H](C)C2COCc2ccc(OC)cc2)O1.COc1ccc(COCC2[C@@H](C)C(CC(CN3C(=O)c4ccccc4C3=O)O[Si](C)(C)C(C)(C)C)O[C@H]2CC=O)cc1.C[C@@H]1[C@H]([C@H](/C=C/I)O[Si](C)(C)C(C)(C)C)O[C@H]2CC[C@H](CC=O)OC2[C@@H]1C.C[O-].[CH2-]CCC.[Li+].[Na+] equivalent representations of the same molecule?,0,Determine whether OCC1([C@@H](O)C2CCC2)CCC1 or O=C(Cc1cc(-c2ccccc2)on1)NCCCn1ccnc1 is more chemically similar to NC(=O)c1nc(C=Cc2cccc(F)c2)n(C2OC(CO)C(O)C2O)n1.,B,"For the property molecular weight, which molecule is higher: OCC1([C@@H](O)C2CCC2)CCC1 or O=C(Cc1cc(-c2ccccc2)on1)NCCCn1ccnc1?",B
smiles,smiles,Do O=C(Oc1ccc(OCC2CO2)cc1)c1ccccc1 and O=C(c1ccccc1)Oc1ccc(cc1)OCC1OC1 correspond to the same molecular structure?,1,Identify which molecule is more similar to O=C(Oc1ccc(OCC2CO2)cc1)c1ccccc1: CCn1ncc(S(=O)(=O)N[C@H]2CCCN(C3CCCCCC3)C2)c1C or O=C(CCCOc1ccc2c(c1)CCC(=O)N2)NCC(F)(F)F.,B,Compare CCn1ncc(S(=O)(=O)N[C@H]2CCCN(C3CCCCCC3)C2)c1C and O=C(CCCOc1ccc2c(c1)CCC(=O)N2)NCC(F)(F)F in terms of molecular weight. Which is lower?,B
smiles,smiles,"Given Cc1cc(=O)c(C2CNCCN2)c[nH]1 and OC1CC2C3CC2(O)C13, determine if they describe the same molecular structure.",0,"Between CN(C)c1ncc2c(n1)[C@]1(CCCN(Cc3nc4ccccc4n3C)C1)CC2 and COC(=O)c1ncn2c1C(=O)N(Cc1ccccc1F)[C@@](C)(C(=O)NCc1ccccc1OC)C2, which is more similar in structure to Cc1cc(=O)c(C2CNCCN2)c[nH]1?",B,"Given CN(C)c1ncc2c(n1)[C@]1(CCCN(Cc3nc4ccccc4n3C)C1)CC2 and COC(=O)c1ncn2c1C(=O)N(Cc1ccccc1F)[C@@](C)(C(=O)NCc1ccccc1OC)C2, determine which has the higher molecular weight.",B
smiles,iupac,Verify whether COc1ccccc1N1CCN(CC(=O)Nc2ccccc2Sc2ccccc2)CC1 and 2-[4-(2-methoxyphenyl)piperazin-1-yl]-N-(2-phenylsulfanylphenyl)acetamide correspond to an identical molecule.,0,Which molecule is more chemically similar to COc1ccccc1N1CCN(CC(=O)Nc2ccccc2Sc2ccccc2)CC1: N=Cc1cc(N2CCOCC2)nc2ccc(-c3ccc(N4CCOCC4)cc3)cc12 or O=C(CSc1nnc(N2CCOCC2)n1-c1ccccc1)Nc1cccc2ncccc12?,B,"For the property molecular weight, which molecule is higher: N=Cc1cc(N2CCOCC2)nc2ccc(-c3ccc(N4CCOCC4)cc3)cc12 or O=C(CSc1nnc(N2CCOCC2)n1-c1ccccc1)Nc1cccc2ncccc12?",B
smiles,smiles,Verify whether CNCc1cc(-c2cc(OC)ccc2F)n(S(=O)(=O)c2cccnc2)c1.O=C(O)/C=C/C(=O)O and CCC1C2COC(=O)C12 correspond to an identical molecule.,0,Identify which molecule is more similar to CNCc1cc(-c2cc(OC)ccc2F)n(S(=O)(=O)c2cccnc2)c1.O=C(O)/C=C/C(=O)O: S=C(Nc1cc(Cl)cc(Cl)c1)c1ccccn1 or N#Cc1ccc(N2CCN(C(=O)c3cccc([N+](=O)[O-])c3)CC2)cn1.,B,Assess the molecular weight of S=C(Nc1cc(Cl)cc(Cl)c1)c1ccccn1 and N#Cc1ccc(N2CCN(C(=O)c3cccc([N+](=O)[O-])c3)CC2)cn1. Which one is higher?,B
smiles,iupac,"Do these two representations, CCOC(=O)c1c(C)oc2ncn(CC(=O)N3C[C@H](C)C[C@H](C)C3)c(=O)c12 and ethyl 3-[2-[(3R,5S)-3,5-dimethylpiperidin-1-yl]-2-oxoethyl]-6-methyl-4-oxofuro[2,3-d]pyrimidine-5-carboxylate, describe the same molecule?",0,Which compound more closely resembles CCOC(=O)c1c(C)oc2ncn(CC(=O)N3C[C@H](C)C[C@H](C)C3)c(=O)c12: CC1=CC(C)C(C=O)C1 or N[C@@H](Cc1ccc(O)c(O)c1)C(=O)OC(=O)OCc1ccccc1?,A,"Between CC1=CC(C)C(C=O)C1 and N[C@@H](Cc1ccc(O)c(O)c1)C(=O)OC(=O)OCc1ccccc1, which exhibits a lower molecular weight?",A
smiles,iupac,"Are Cc1cccc(Cl)c1NC(=O)N1CCCN(c2ncccc2C(F)(F)F)CC1 and N-(2-chloro-6-methylphenyl)-4-[3-(trifluoromethyl)-2-pyridinyl]-1,4-diazepane-1-carboxamide equivalent representations of the same molecule?",1,"Given Cc1cccc(Cl)c1NC(=O)N1CCCN(c2ncccc2C(F)(F)F)CC1, select the molecule that is more chemically similar: O=C(c1ccc(Cl)c(F)c1)c1c[nH]c2ccccc12 or CCCCN(C(=O)C(C)C)c1nc(C)c(C)o1.",A,Identify whether O=C(c1ccc(Cl)c(F)c1)c1c[nH]c2ccccc12 or CCCCN(C(=O)C(C)C)c1nc(C)c(C)o1 has the lower molecular weight.,B
smiles,smiles,Do the two chemical representations C=CCC(C(=C)NO)C(=C)/C(C)=C/C12C/C=C\C=C/C(C1)C(c1ccccc1O)=N2 and C1(C2CC(/C=C(\C)C(C(CC=C)C(=C)NO)=C)(N=1)C/C=C\C=C/2)c1c(O)cccc1 describe the same molecule?,1,"Given C=CCC(C(=C)NO)C(=C)/C(C)=C/C12C/C=C\C=C/C(C1)C(c1ccccc1O)=N2, select the molecule that is more chemically similar: O=C(NCC1CC1)C1C(CO)C2Cn3c(ccc(C=Cc4ccccc4)c3=O)C1N2C(=O)C1CCC1 or O=C(NCCN1CCOCC1)C1NC2(CCC(F)(F)CC2)C2(C(=O)Nc3cc(Cl)ccc32)C1c1cccc(Cl)c1F.",A,Determine whether O=C(NCC1CC1)C1C(CO)C2Cn3c(ccc(C=Cc4ccccc4)c3=O)C1N2C(=O)C1CCC1 or O=C(NCCN1CCOCC1)C1NC2(CCC(F)(F)CC2)C2(C(=O)Nc3cc(Cl)ccc32)C1c1cccc(Cl)c1F has the lower value of molecular weight.,A
smiles,iupac,Verify whether COc1ccccc1O and 2-methoxyphenol correspond to an identical molecule.,0,"Given COc1ccccc1O, select the molecule that is more chemically similar: O=C(O)C1(CC(O)c2ccccc2)CCc2ccccc21 or COC(=O)c1occc1CSc1nnc(-c2ccccc2Cl)n1C1CCCC1.",B,Which compound shows a lower molecular weight: O=C(O)C1(CC(O)c2ccccc2)CCc2ccccc21 or COC(=O)c1occc1CSc1nnc(-c2ccccc2Cl)n1C1CCCC1?,A
smiles,smiles,Are the chemical entities represented by O=C(c1ccc(NS(=O)(=O)c2cccc3cccnc23)cc1F)N1CCC(O)(c2ccccc2Cl)CC1 and O=S(Nc1cc(c(cc1)C(=O)N1CCC(c2ccccc2Cl)(CC1)O)F)(=O)c1cccc2cccnc21 the same?,1,Determine whether O=C1NC2CC(C2)O1 or CCc1nnc2n1N[C@@H](c1ccc(Cl)cc1)[C@H](C(=O)Nc1ccccc1OC)S2 is more chemically similar to O=C(c1ccc(NS(=O)(=O)c2cccc3cccnc23)cc1F)N1CCC(O)(c2ccccc2Cl)CC1.,B,"Which molecule has a higher molecular weight, O=C1NC2CC(C2)O1 or CCc1nnc2n1N[C@@H](c1ccc(Cl)cc1)[C@H](C(=O)Nc1ccccc1OC)S2?",B
smiles,smiles,Verify whether CCC(Cl)CC(Cl)C(Cl)C(Cl)C(Cl)C(C)Cl and ClC(C(Cl)C(Cl)C(C(C)Cl)Cl)CC(Cl)CC correspond to an identical molecule.,1,Assess the chemical similarity of CCCCCCCCCCN1CCCC(C(=O)NCC)C1 and O=C([O-])C1CC2[NH2+]C2C1 to CCC(Cl)CC(Cl)C(Cl)C(Cl)C(Cl)C(C)Cl. Which is more similar?,A,Which compound shows a higher molecular weight: CCCCCCCCCCN1CCCC(C(=O)NCC)C1 or O=C([O-])C1CC2[NH2+]C2C1?,A
smiles,iupac,"Do CCc1csc(C2CCCN(C(=O)COc3cc(C)on3)C2)n1 and 1-[3-(4-ethyl-1,3-thiazol-2-yl)piperidin-1-yl]-2-[(5-methyl-1,2-oxazol-3-yl)oxy]ethanone correspond to the same molecular structure?",0,Which compound more closely resembles CCc1csc(C2CCCN(C(=O)COc3cc(C)on3)C2)n1: N#CC(C=O)COC=O or CC1=CC(C)CNC1=O?,B,Identify whether N#CC(C=O)COC=O or CC1=CC(C)CNC1=O has the lower molecular weight.,B
smiles,smiles,"Given N#CC12CC1CC1NC12 and O=C(CC1CCC(NC(=O)C2CCOCC2)C(CO)O1)NCC1CC1, determine if they describe the same molecular structure.",0,"Which molecule shares greater structural similarity with N#CC12CC1CC1NC12, OC12CC3CC1OC3C2 or OCCC1COC12CC2?",A,"Between OC12CC3CC1OC3C2 and OCCC1COC12CC2, which exhibits a higher molecular weight?",B
smiles,iupac,"Are Oc1c(Br)cc(Br)cc1-c1cc(Br)cc(Br)c1O and 2,4-dibromo-6-(3,5-dibromo-2-hydroxyphenyl)phenol equivalent representations of the same molecule?",0,Which molecule is more chemically similar to Oc1c(Br)cc(Br)cc1-c1cc(Br)cc(Br)c1O: COc1ccc(CCNS(=O)(=O)c2ccnc(Cl)c2)cc1 or CN(Cc1cccs1)C(=O)c1cc(S(=O)(=O)N(C)c2ccc(F)cc2)ccc1Cl?,B,Identify whether COc1ccc(CCNS(=O)(=O)c2ccnc(Cl)c2)cc1 or CN(Cc1cccs1)C(=O)c1cc(S(=O)(=O)N(C)c2ccc(F)cc2)ccc1Cl has the lower molecular weight.,A
smiles,iupac,Are O=C(Nc1ccccc1Oc1ccccc1)c1cc(N2CCCCCC2)ccn1 and 4-(azepan-1-yl)-N-(2-phenoxyphenyl)pyridine-2-carboxamide equivalent representations of the same molecule?,0,"Which molecule shares greater structural similarity with O=C(Nc1ccccc1Oc1ccccc1)c1cc(N2CCCCCC2)ccn1, Cc1nc(CC=O)c[nH]1 or CCOC(=O)C1CCN(C(=O)c2cc3sc(C)cc3n2Cc2ccc(OC)cc2)CC1?",B,Identify whether Cc1nc(CC=O)c[nH]1 or CCOC(=O)C1CCN(C(=O)c2cc3sc(C)cc3n2Cc2ccc(OC)cc2)CC1 has the higher molecular weight.,B
smiles,smiles,Are the chemical entities represented by O=c1c2sccc2n(CCOc2ccccc2)c(=O)n1CCc1ccccc1 and C#CC1NC(=N)NC1=O the same?,0,Compare O=C(O)CCn1c(-c2nc3ccccc3s2)csc1=O and COc1ccc(CN2C(=O)c3ccccc3C2=O)cc1C(=O)N(C)C1CCNC1 to O=c1c2sccc2n(CCOc2ccccc2)c(=O)n1CCc1ccccc1. Which is more chemically similar?,A,"For the property molecular weight, which molecule is higher: O=C(O)CCn1c(-c2nc3ccccc3s2)csc1=O or COc1ccc(CN2C(=O)c3ccccc3C2=O)cc1C(=O)N(C)C1CCNC1?",B
smiles,iupac,"Are the chemical entities represented by Cc1ccc(-n2nc(C(=O)Nc3ccc(Br)cc3)nc2-c2ccccc2)cc1C and N-(4-bromophenyl)-1-(3,4-dimethylphenyl)-5-phenyl-1,2,4-triazole-3-carboxamide the same?",0,Compare COc1ccc(C#N)cc1CN(CCC(=O)O)C1CC1 and COc1ccc(/C=C2/C(=O)N(c3cccc(Cl)c3)C(=O)N=C2O)cc1COc1ccc(NC(C)=O)cc1 to Cc1ccc(-n2nc(C(=O)Nc3ccc(Br)cc3)nc2-c2ccccc2)cc1C. Which is more chemically similar?,B,"For the property molecular weight, which molecule is lower: COc1ccc(C#N)cc1CN(CCC(=O)O)C1CC1 or COc1ccc(/C=C2/C(=O)N(c3cccc(Cl)c3)C(=O)N=C2O)cc1COc1ccc(NC(C)=O)cc1?",A
smiles,smiles,Determine whether IC(c1ccccn1)[P+](c1ccccc1)(c1ccccc1)c1ccccc1 and c1ccccc1[P+](C(c1ncccc1)I)(c1ccccc1)c1ccccc1 refer to the same chemical compound.,1,Identify which molecule is more similar to IC(c1ccccn1)[P+](c1ccccc1)(c1ccccc1)c1ccccc1: N#Cc1cc[nH]c1O or C=Cc1c(OC)nc(N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C)nc1OC.,A,"Which molecule has a higher molecular weight, N#Cc1cc[nH]c1O or C=Cc1c(OC)nc(N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C)nc1OC?",B
smiles,iupac,"Are Nc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(CCCO)c2n1 and 2-amino-6-(2,6-dichlorophenyl)-8-(3-hydroxypropyl)pyrido[2,3-d]pyrimidin-7-one equivalent representations of the same molecule?",0,Determine whether C#CC(C)(CC)C(C)C or Cn1c(=O)n(Cc2nc(COc3ccccc3)no2)c2ccccc21 is more chemically similar to Nc1ncc2cc(-c3c(Cl)cccc3Cl)c(=O)n(CCCO)c2n1.,B,Which compound shows a lower molecular weight: C#CC(C)(CC)C(C)C or Cn1c(=O)n(Cc2nc(COc3ccccc3)no2)c2ccccc21?,A
smiles,smiles,Do Cc1ccc(-n2c(SCCCC#N)nc3ccccc3c2=O)cc1 and c12ccccc1nc(SCCCC#N)n(-c1ccc(C)cc1)c2=O correspond to the same molecular structure?,1,"Which molecule shares greater structural similarity with Cc1ccc(-n2c(SCCCC#N)nc3ccccc3c2=O)cc1, Cc1cc(O)ccc1Nc1ccc(N)c2c1C(=O)c1ccccc1C2=O or O=CN1C=NCCN=C1?",A,Assess the molecular weight of Cc1cc(O)ccc1Nc1ccc(N)c2c1C(=O)c1ccccc1C2=O and O=CN1C=NCCN=C1. Which one is higher?,A
smiles,smiles,"Given CCCN(CC(=O)Nc1ccccc1C)C(=O)C1CC(=O)N(c2ccc(CC)cc2)C1 and CO[C@H]1O[C@H](COS(=O)(=O)O)[C@@H](O[C@@H]2O[C@@H](C=O)[C@@H](O[C@H]3O[C@H](COS(=O)(=O)O)[C@@H](O[C@@H]4O[C@H](C=O)[C@@H](O[C@H]5O[C@H](COS(=O)(=O)O)[C@@H](OC)[C@H](OC)[C@H]5OC)[C@H](OC)[C@H]4OC)[C@H](OS(=O)(=O)O)[C@H]3OS(=O)(=O)O)[C@H](OC)[C@H]2OC)[C@H](OS(=O)(=O)O)[C@H]1OS(=O)(=O)O, determine if they describe the same molecular structure.",0,"Which molecule shares greater structural similarity with CCCN(CC(=O)Nc1ccccc1C)C(=O)C1CC(=O)N(c2ccc(CC)cc2)C1, Cc1noc(-c2nnn(-c3ccc(C)c(F)c3)c2C)n1 or Cc1cccc(C)c1NC(=O)c1ccc(N2C(=O)[C@H]3CC=CC[C@H]3C2=O)cc1?",B,"Which molecule has a higher molecular weight, Cc1noc(-c2nnn(-c3ccc(C)c(F)c3)c2C)n1 or Cc1cccc(C)c1NC(=O)c1ccc(N2C(=O)[C@H]3CC=CC[C@H]3C2=O)cc1?",B
